WARNING 2024-03-04 15:09:32,221  160 Invalid field name(tt) pass.
INFO | 2024-03-04 16:10:44,520| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\quiz\views.py | func: post | line_no: 52 | Quiz Added Successfully.
INFO | 2024-03-04 16:12:02,181| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\quiz\views.py | func: put | line_no: 106 | Quiz Update Successfully.
INFO | 2024-03-04 16:12:25,169| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\add_questions\views.py | func: get | line_no: 106 | Return all questions with option Successfully.
INFO | 2024-03-04 16:13:57,826| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\add_questions\views.py | func: post | line_no: 214 | New Option Added Successfully.
INFO | 2024-03-04 16:14:46,970| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\add_questions\views.py | func: post | line_no: 43 | Question and options are added successfully.
INFO | 2024-03-04 16:15:15,969| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\add_questions\views.py | func: put | line_no: 165 | Option Updated Successfully.
INFO | 2024-03-04 16:15:36,934| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\add_questions\views.py | func: put | line_no: 128 | Question update successfully.
INFO | 2024-03-06 10:21:50,969| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\add_questions\views.py | func: get | line_no: 106 | Return all questions with option Successfully.
INFO | 2024-03-06 10:22:59,453| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\add_questions\views.py | func: get | line_no: 106 | Return all questions with option Successfully.
INFO | 2024-03-06 10:24:50,639| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\add_questions\views.py | func: get | line_no: 106 | Return all questions with option Successfully.
INFO | 2024-03-06 10:28:52,968| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\add_questions\views.py | func: get | line_no: 106 | Return all questions with option Successfully.
INFO | 2024-03-06 10:29:42,818| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\add_questions\views.py | func: get | line_no: 106 | Return all questions with option Successfully.
INFO | 2024-03-06 11:40:14,640| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\add_questions\views.py | func: get | line_no: 98 | Not any question added yet inside this quiz.
INFO | 2024-03-06 11:42:00,336| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\add_questions\views.py | func: get | line_no: 106 | Return all questions with option Successfully.
INFO | 2024-03-06 11:47:57,290| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\add_questions\views.py | func: get | line_no: 106 | Return all questions with option Successfully.
INFO | 2024-03-06 11:51:33,662| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\add_questions\views.py | func: get | line_no: 106 | Return all questions with option Successfully.
INFO | 2024-03-06 12:15:08,114| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\add_questions\views.py | func: get | line_no: 106 | Return all questions with option Successfully.
INFO | 2024-03-06 12:19:23,333| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\add_questions\views.py | func: get | line_no: 106 | Return all questions with option Successfully.
INFO | 2024-03-06 12:19:40,219| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\add_questions\views.py | func: get | line_no: 106 | Return all questions with option Successfully.
INFO | 2024-03-06 12:25:30,113| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\add_questions\views.py | func: get | line_no: 106 | Return all questions with option Successfully.
INFO | 2024-03-06 12:35:15,868| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\add_questions\views.py | func: get | line_no: 106 | Return all questions with option Successfully.
INFO | 2024-03-06 12:47:29,505| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\add_questions\views.py | func: get | line_no: 106 | Return all questions with option Successfully.
INFO | 2024-03-06 13:42:32,410| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\add_questions\views.py | func: get | line_no: 98 | Not any question added yet inside this quiz.
INFO | 2024-03-06 13:42:53,870| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\add_questions\views.py | func: get | line_no: 98 | Not any question added yet inside this quiz.
INFO | 2024-03-06 13:42:59,462| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\add_questions\views.py | func: get | line_no: 98 | Not any question added yet inside this quiz.
INFO | 2024-03-06 13:44:12,624| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\add_questions\views.py | func: get | line_no: 106 | Return all questions with option Successfully.
INFO | 2024-03-06 14:17:28,853| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\add_questions\views.py | func: get | line_no: 106 | Return all questions with option Successfully.
INFO | 2024-03-07 10:25:39,368| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\add_questions\views.py | func: post | line_no: 44 | Question and options are added successfully.
INFO | 2024-03-07 11:00:17,352| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\add_questions\views.py | func: put | line_no: 129 | Question update successfully.
INFO | 2024-03-07 11:12:38,692| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\add_questions\views.py | func: put | line_no: 129 | Question update successfully.
INFO | 2024-03-07 11:12:43,653| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\add_questions\views.py | func: put | line_no: 129 | Question update successfully.
INFO | 2024-03-07 11:13:25,274| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\add_questions\views.py | func: put | line_no: 129 | Question update successfully.
INFO | 2024-03-07 11:13:29,282| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\add_questions\views.py | func: put | line_no: 129 | Question update successfully.
INFO | 2024-03-07 11:20:05,273| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\add_questions\views.py | func: put | line_no: 129 | Question update successfully.
INFO | 2024-03-07 11:20:47,315| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\add_questions\views.py | func: put | line_no: 129 | Question update successfully.
INFO | 2024-03-07 11:29:07,002| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\add_questions\views.py | func: put | line_no: 129 | Question update successfully.
INFO | 2024-03-07 14:46:59,827| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\quiz\views.py | func: get | line_no: 176 | No Record Found
INFO | 2024-03-07 14:48:40,473| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\quiz\views.py | func: get | line_no: 176 | No Record Found
INFO | 2024-03-07 14:49:04,791| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\quiz\views.py | func: get | line_no: 176 | No Record Found
INFO | 2024-03-07 14:52:29,371| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\quiz\views.py | func: get | line_no: 172 | Record send Successfully.
INFO | 2024-03-07 14:53:05,310| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\add_questions\views.py | func: get | line_no: 109 | Return all questions with option Successfully.
INFO | 2024-03-07 14:54:10,301| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\add_questions\views.py | func: get | line_no: 109 | Return all questions with option Successfully.
INFO | 2024-03-07 17:53:40,794| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\add_questions\views.py | func: post | line_no: 46 | Question and options are added successfully.
INFO | 2024-03-07 18:34:45,209| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\add_questions\views.py | func: post | line_no: 46 | Question and options are added successfully.
INFO | 2024-03-07 18:35:51,711| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\add_questions\views.py | func: post | line_no: 46 | Question and options are added successfully.
INFO | 2024-03-07 18:41:28,804| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\add_questions\views.py | func: post | line_no: 46 | Question and options are added successfully.
INFO | 2024-03-07 18:43:22,331| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\add_questions\views.py | func: post | line_no: 46 | Question and options are added successfully.
INFO | 2024-03-08 11:31:15,974| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\quiz\views.py | func: get | line_no: 174 | Record send Successfully.
INFO | 2024-03-08 11:33:02,537| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\quiz\views.py | func: get | line_no: 174 | Record send Successfully.
INFO | 2024-03-08 12:06:55,942| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\quiz\views.py | func: get | line_no: 174 | Record send Successfully.
INFO | 2024-03-08 12:08:28,171| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\quiz\views.py | func: get | line_no: 174 | Record send Successfully.
INFO | 2024-03-08 12:08:30,433| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\quiz\views.py | func: get | line_no: 174 | Record send Successfully.
INFO | 2024-03-08 12:08:32,893| path: C:\Users\vs123\OneDrive\Desktop\quiz\JDC\Quiz_Api\quiz\views.py | func: get | line_no: 174 | Record send Successfully.
